date,ticker,Close,Volume
2025-10-01,AAPL,254.9640350341797,48713900
2025-10-02,AAPL,256.6408386230469,42630200
2025-10-03,AAPL,257.5291442871094,49155600
2025-10-06,AAPL,256.2016906738281,44664100
2025-10-07,AAPL,255.99208068847656,31955800
2025-10-08,AAPL,257.5690612792969,36496900
2025-10-09,AAPL,253.55670166015625,38322000
2025-10-10,AAPL,244.80340576171875,61999100
2025-10-13,AAPL,247.18885803222656,38142900
2025-10-14,AAPL,247.29864501953125,35478000
2025-10-15,AAPL,248.8656463623047,33893600
2025-10-16,AAPL,246.979248046875,39777000
2025-10-17,AAPL,251.81002807617188,49147000
2025-10-20,AAPL,261.7411193847656,90483000
2025-10-21,AAPL,262.2701110839844,46695900
2025-10-22,AAPL,257.9583435058594,45015300
2025-10-23,AAPL,259.0861511230469,32754900
2025-10-24,AAPL,262.32000732421875,38253700
2025-10-27,AAPL,268.2986145019531,44888200
2025-10-28,AAPL,268.4882507324219,41534800
2025-10-29,AAPL,269.1869201660156,51086700
2025-10-30,AAPL,270.8836669921875,69886500
2025-10-31,AAPL,269.85565185546875,86167100
2025-11-03,AAPL,268.53814697265625,50194600
2025-11-04,AAPL,269.5262756347656,49274800
2025-11-05,AAPL,269.6260986328125,43683100
2025-11-06,AAPL,269.25677490234375,51204000
2025-11-07,AAPL,267.9592590332031,48227400
2025-11-10,AAPL,269.1781311035156,41312400
2025-11-11,AAPL,274.99267578125,46208300
2025-11-12,AAPL,273.21435546875,48398000
2025-11-13,AAPL,272.6948547363281,49602800
2025-11-14,AAPL,272.15533447265625,47431300
2025-11-17,AAPL,267.2099609375,45018300
2025-11-18,AAPL,267.19000244140625,45677300
2025-11-19,AAPL,268.3089294433594,40424500
2025-11-20,AAPL,266.0010986328125,45823600
2025-11-21,AAPL,271.2361755371094,59030800
2025-11-24,AAPL,275.6620788574219,65585800
2025-11-25,AAPL,276.7110900878906,46914200
2025-11-26,AAPL,277.29052734375,33431400
2025-11-28,AAPL,278.5893249511719,20135600
2025-12-01,AAPL,282.8353576660156,46587700
2025-12-02,AAPL,285.9224548339844,53669500
2025-12-03,AAPL,283.8843688964844,43538700
2025-12-04,AAPL,280.4375915527344,43989100
2025-12-05,AAPL,278.5193786621094,47265800
2025-12-08,AAPL,277.6302185058594,38211800
2025-12-09,AAPL,276.9208679199219,32193300
2025-12-10,AAPL,278.5193786621094,33038300
2025-12-11,AAPL,277.77008056640625,33248000
2025-12-12,AAPL,278.0198669433594,39532900
2025-12-15,AAPL,273.8537292480469,50409100
2025-12-16,AAPL,274.353271484375,37648600
2025-12-17,AAPL,271.58587646484375,50138700
2025-12-18,AAPL,271.935546875,51630700
2025-12-19,AAPL,273.4141845703125,144632000
2025-12-22,AAPL,270.7166748046875,36571800
2025-12-23,AAPL,272.1053771972656,29642000
2025-12-24,AAPL,273.55401611328125,17910600
2025-12-26,AAPL,273.1444091796875,21521800
2025-12-29,AAPL,273.50408935546875,23715200
2025-12-30,AAPL,272.82470703125,22139600
2025-12-31,AAPL,271.6058349609375,27293600
2026-01-02,AAPL,270.75665283203125,37838100
2026-01-05,AAPL,267.0101623535156,45647200
2026-01-06,AAPL,262.1147155761719,52352100
2026-01-07,AAPL,260.08660888671875,48309800
2026-01-08,AAPL,258.7978515625,50419300
2026-01-09,AAPL,259.1275329589844,39997000
2026-01-12,AAPL,260.0067138671875,45263800
2026-01-13,AAPL,260.8059387207031,45730800
2026-01-14,AAPL,259.71697998046875,40019400
2026-01-15,AAPL,257.9685974121094,39388600
2026-01-16,AAPL,255.29112243652344,72142800
2026-01-20,AAPL,246.46937561035156,80267500
2026-01-21,AAPL,247.41848754882812,54641700
2026-01-22,AAPL,248.1178436279297,39708300
2026-01-23,AAPL,247.80812072753906,41689000
2026-01-26,AAPL,255.17123413085938,55969200
2026-01-27,AAPL,258.0285339355469,49648300
2026-01-28,AAPL,256.2002868652344,41288000
2026-01-29,AAPL,258.0385437011719,67253000
2026-01-30,AAPL,259.2374267578125,92443400
2026-02-02,AAPL,269.7575988769531,73913400
2026-02-03,AAPL,269.22808837890625,64394700
2026-02-04,AAPL,276.23150634765625,90545700
2026-02-05,AAPL,275.6520690917969,52977400
2026-02-06,AAPL,277.8599853515625,50453400
2026-02-09,AAPL,274.6199951171875,44623400
2026-02-10,AAPL,273.67999267578125,34376900
2026-02-11,AAPL,275.5,51931300
2026-02-12,AAPL,261.7300109863281,81077200
2026-02-13,AAPL,255.77999877929688,56290700
2026-02-17,AAPL,263.8800048828125,58469100
2026-02-18,AAPL,264.3500061035156,34203300
